date,"Revenue, excluding grants (% of GDP)",GDP (constant 2015 US$),"Employment to population ratio (15+, total %)"
1998-05-01,17.73158932446639,18813579205.42816,68.56637303604882
1998-06-01,17.74329319245498,18883027822.20119,68.41092426549531
1998-07-01,17.75499706044354,18951818757.889355,68.25272453775018
1998-08-01,17.766700928432098,19019870579.334522,68.09420678013004
1998-09-01,17.778404796420688,19087101853.378574,67.9378039199515
1998-10-01,17.790108664409246,19153431146.862823,67.78594888453249
1998-11-01,17.801812532397804,19218777026.62914,67.64107460118959
1998-12-01,17.813516400386394,19283058059.51939,67.5056139972395
1999-01-01,17.82522026837495,19346192812.3749,67.382
1999-02-01,17.836924136363507,19408144553.2111,67.27214745061882
1999-03-01,17.848628004352097,19469055354.737625,67.17589884556807
1999-04-01,17.860331872340655,19529111990.83718,67.09257859515168
1999-05-01,17.872035740329213,19588501235.39296,67.02151110967274
1999-06-01,17.883739608317804,19647409862.28816,66.96202079943457
1999-07-01,17.89544347630636,19706024645.405487,66.91343207474088
1999-08-01,17.90714734429492,19764532358.62814,66.87506934589489
1999-09-01,17.91885121228351,19823119775.839302,66.84625702319995
1999-10-01,17.930555080272068,19881973670.921696,66.82631951695964
1999-11-01,17.942258948260626,19941280817.75851,66.81458123747727
1999-12-01,17.953962816249216,20001227990.232944,66.81036659505625
2000-01-01,17.965666684237775,20062001962.2277,66.813
2000-02-01,17.977370552226333,20123755199.977955,66.8218129031766
2000-03-01,17.989074420214923,20186502939.126823,66.83616491771298
2000-04-01,18.00077828820348,20250226107.668888,66.85542269730057
2000-05-01,18.01248215619204,20314905633.599243,66.87895289563096
2000-06-01,18.02418602418063,20380522444.913,66.90612216639575
2000-07-01,18.035889892169187,20447057469.60471,66.93629716328637
2000-08-01,18.047593760157746,20514491635.669487,66.96884453999438
2000-09-01,18.059297628146336,20582805871.102444,67.00313095021146
2000-10-01,18.071001496134894,20651981103.898125,67.03852304762896
2000-11-01,18.082705364123452,20721998262.051647,67.0743874859385
2000-12-01,18.094409232112042,20792838273.558125,67.11009091883174
2001-01-01,18.1061131001006,20864482066.4121,67.145
2001-02-01,18.098070895699923,20936924123.78893,67.17861829778586
2001-03-01,18.090028691299228,21010213149.584938,67.21099703913558
2001-04-01,18.08198648689855,21084411402.8761,67.24232436564607
2001-05-01,18.073944282497873,21159581142.738983,67.2727884189145
2001-06-01,18.065902078097178,21235784628.250164,67.3025773405381
2001-07-01,18.0578598736965,21313084118.485596,67.33187927211372
2001-08-01,18.049817669295823,21391541872.52186,67.3608823552386
2001-09-01,18.041775464895128,21471220149.43554,67.38977473150989
2001-10-01,18.03373326049445,21552181208.30257,67.41874454252452
2001-11-01,18.025691056093773,21634487308.19954,67.44797992987966
2001-12-01,18.017648851693078,21718200708.203045,67.47766903517253
2002-01-01,18.0096066472924,21803383667.389,67.508
2002-02-01,18.15604109396341,21890083567.837154,67.53911552605014
2002-03-01,18.302475540634816,21978288283.63987,67.57097655537449
2002-04-01,18.448909987305825,22067970811.89194,67.60349859011515
2002-05-01,18.595344433976834,22159104149.688885,67.63659713241452
2002-06-01,18.741778880648244,22251661294.12623,67.67018768441501
2002-07-01,18.88821332731925,22345615242.298748,67.70418574825874
2002-08-01,19.034647773990258,22440938991.30196,67.73850682608807
2002-09-01,19.18108222066167,22537605538.23142,67.77306642004544
2002-10-01,19.327516667332677,22635587880.181858,67.80778003227296
2002-11-01,19.473951114003686,22734859014.24882,67.84256316491299
2002-12-01,19.620385560675093,22835391937.52786,67.87733132010797
2003-01-01,19.7668200073461,22937159647.1137,67.912
2003-02-01,20.095597173864636,23040121705.00262,67.94648962116153
2003-03-01,20.424374340384066,23144183932.793823,67.98074025788517
2003-04-01,20.7531515069026,23249238716.986385,68.01469689889333
2003-05-01,21.081928673421135,23355178444.080235,68.04830453290869
2003-06-01,21.41070583994057,23461895500.575314,68.0815081486539
2003-07-01,21.739483006459103,23569282272.970688,68.11425273485135
2003-08-01,22.068260172977634,23677231147.766293,68.14648328022373
2003-09-01,22.397037339497068,23785634511.46207,68.17814477349371
2003-10-01,22.725814506015602,23894384750.557076,68.20918220338368
2003-11-01,23.054591672534137,24003374251.551254,68.23954055861634
2003-12-01,23.383368839053567,24112495400.944542,68.2691648279143
2004-01-01,23.7121460055721,24221640585.236,68.298
2004-02-01,23.710172939154504,24330792834.501953,68.32604635967395
2004-03-01,23.7081998727369,24440297753.12427,68.35352537604797
2004-04-01,23.7062268063193,24550591589.06033,68.38071381431152
2004-05-01,23.704253739901702,24662110590.268375,68.40788843965429
2004-06-01,23.7022806734841,24775291004.706676,68.43532601726594
2004-07-01,23.7003076070665,24890569080.33259,68.4633033123359
2004-08-01,23.6983345406489,25008381065.104366,68.49209709005386
2004-09-01,23.6963614742313,25129163206.9803,68.52198411560953
2004-10-01,23.6943884078137,25253351753.9177,68.5532411541923
2004-11-01,23.692415341396103,25381382953.874847,68.58614497099191
2004-12-01,23.690442274978498,25513693054.81007,68.62097233119799
2005-01-01,23.6884692085609,25650718304.6806,68.658
2005-02-01,22.823154172411662,25792588669.43216,68.69728385217955
2005-03-01,21.957839136260063,25938208986.960117,68.73799620088607
2005-04-01,21.092524100110825,26086177813.146046,68.77908846886056
2005-05-01,20.22720906396159,26235093703.872707,68.8195120788444
2005-06-01,19.36189402780999,26383555215.02288,68.85821845357889
2005-07-01,18.496578991660748,26530160902.47811,68.8941590158051
2005-08-01,17.63126395551151,26673509322.12119,68.92628518826437
2005-09-01,16.765948919359914,26812199029.834846,68.95354839369799
2005-10-01,15.900633883210674,26944828581.500698,68.97490005484708
2005-11-01,15.035318847061436,27069996533.0015,68.98929159445295
2005-12-01,14.170003810909837,27186301440.219925,68.99567443525686
2006-01-01,13.3046887747606,27292341859.0377,68.993
2006-02-01,13.501537365418711,27387425037.153618,68.98059137975582
2006-03-01,13.698385956077361,27473692989.5307,68.9592583389264
